"chrom","start","end","degree","closeness","betweenness","Local_cluster_coefficient","Eigenvector_centrality","membership"
"chr2R",7686125,7686524,1,2.11140521486187e-05,0,NA,0.499829047822918,6
"chr2R",7689094,7689452,1,2.11140521486187e-05,0,NA,0.499829047822918,6
"chr2R",7689616,7690071,6,2.11303920864319e-05,6,0,1,6
"chr2R",7958229,7958549,1,2.08495857743938e-05,0,NA,0,29
"chr2R",8110896,8111315,1,2.08497582420763e-05,0,NA,0,30
"chr2R",8160376,8160850,4,2.09439398829392e-05,1,0,1.90311363683689e-17,7
"chr2R",8156148,8156504,1,2.09425125461172e-05,0,NA,9.60271468739765e-18,7
"chr2R",8158984,8159442,1,2.09425125461172e-05,0,NA,1.51448173084087e-17,7
"chr2R",8424481,8424928,1,2.08501700024209e-05,0,NA,0,31
"chr2R",8472764,8473033,1,2.09424748560538e-05,0,NA,1.55333454685676e-18,32
"chr2R",8474946,8475335,1,2.09424748560538e-05,0,NA,5.59449426877613e-19,32
"chr2R",8805413,8805783,1,2.09467939359248e-05,0,NA,0,33
"chr2R",8804299,8805007,1,2.09467939359248e-05,0,NA,0,33
"chr2R",9134315,9135106,1,2.08506891059495e-05,0,NA,0,34
"chr2R",9407742,9408005,1,2.08503301997665e-05,0,NA,0,35
"chr2R",9754103,9754461,1,2.19500758631322e-05,0,NA,0,14
"chr2R",9756045,9756373,2,2.1952162252247e-05,0,1,0,14
"chr2R",9764406,9764847,5,2.19538449998271e-05,38,0.2,0,14
"chr2R",9784894,9785395,2,2.19534204915614e-05,0,1,0,14
"chr2R",9794879,9795350,4,2.19542161866681e-05,35,0.333333333333333,0,14
"chr2R",9852017,9852448,2,2.09461665947613e-05,1,0,0,36
"chr2R",9938146,9939148,1,2.08472860766212e-05,0,NA,2.38947412143629e-17,37
"chr2R",10115643,10116221,1,2.08503916912194e-05,0,NA,0,38
"chr2R",10150078,10150741,1,2.09462166338327e-05,0,NA,0,39
"chr2R",10205565,10205910,5,2.13390722290485e-05,10,0,0,40
"chr2R",10229584,10230017,3,2.13390622977387e-05,6,0,0,40
"chr2R",10224937,10225855,2,2.13389853556731e-05,0,0,0,40
"chr2R",10303400,10303724,1,2.09458625049749e-05,0,NA,0,39
"chr2R",10312573,10312907,1,2.08506990230647e-05,0,NA,0,41
"chr2R",10426362,10426721,2,2.13354730015816e-05,0,0,0,42
"chr2R",10986558,10986774,2,2.09434390678557e-05,1,0,0,43
"chr2R",11021918,11022584,2,2.11396168458619e-05,0,1,0,44
"chr2R",11024457,11024875,6,2.11402942033725e-05,1.5,0.2,0,44
"chr2R",11019854,11020203,2,2.11396168458619e-05,0,1,0,44
"chr2R",11019057,11019562,2,2.11396168458619e-05,0,1,0,44
"chr2R",11175368,11175627,1,2.08499234993122e-05,0,NA,0,45
"chr2R",11346091,11346472,1,2.10369242159875e-05,0,NA,1.44367519698014e-17,10
"chr2R",11344938,11345422,1,2.10369242159875e-05,0,NA,1.48413607347199e-17,10
"chr2R",11454744,11455139,2,2.11407568613095e-05,4,0,0,47
"chr2R",11467838,11468257,2,2.09454348343837e-05,1,0,0,46
"chr2R",11542945,11543392,2,2.11407484026854e-05,3,0,0,47
"chr2R",11705285,11705549,5,2.17383378705787e-05,17,0,2.39756629673466e-18,11
"chr2R",11700087,11700536,1,2.17285321306741e-05,0,NA,7.24301562122588e-18,11
"chr2R",11704074,11704401,1,2.17285321306741e-05,0,NA,9.27747148790552e-18,11
"chr2R",11953486,11953975,2,2.13332662265009e-05,0,0,5.24175842243697e-18,42
"chr2R",12049234,12049686,4,2.17366697733564e-05,9,0,0,11
"chr2R",12084385,12084714,1,2.08506830394325e-05,0,NA,0,48
"chr2R",12456767,12457998,2,2.09462060473843e-05,1,0,0,49
"chr2R",12473731,12474206,2,2.17406710335563e-05,16,0,0,11
"chr2R",12563795,12564400,2,2.09456920850919e-05,1,0,0,50
"chr2R",12733156,12733498,1,2.08500787791631e-05,0,NA,0,51
"chr2R",13243412,13243814,1,2.19503171714899e-05,0,NA,0,14
"chr2R",13340637,13340887,1,2.08500060550096e-05,0,NA,0,52
"chr2R",13691729,13692328,1,2.12399806026209e-05,0,NA,0,53
"chr2R",13693909,13694439,1,2.12399806026209e-05,0,NA,0,53
"chr2R",13694704,13695149,2,2.12399840321632e-05,4,0,0,53
"chr2R",13725701,13726256,1,2.12381999165648e-05,0,NA,0,53
"chr2R",14157587,14158021,1,2.08505129801469e-05,0,NA,0,54
"chr2R",14280256,14280451,1,2.08507013472472e-05,0,NA,0,55
"chr2R",14424666,14426912,3,2.0850381507902e-05,0,0,0,56
"chr2R",14656367,14656778,2,2.09465268334996e-05,1,0,0,57
"chr2R",14714535,14715071,3,2.08498271637846e-05,0,0,0,58
"chr2R",14891937,14892378,1,2.08475217627137e-05,0,NA,2.33220641932475e-18,59
"chr2R",15107417,15107785,1,2.08507057208507e-05,0,NA,0,60
"chr2R",15124525,15125164,2,2.0755500207555e-05,0,0,0,8
"chr2R",15145485,15145904,1,2.1951913541056e-05,0,NA,0,14
"chr2R",16200466,16201289,3,2.08500869063648e-05,0,0,0,9
"chr2R",16196836,16198925,1,2.08500869063648e-05,0,NA,0,9
"chr2R",16390343,16390762,2,2.09445665665105e-05,1,0,0,61
"chr2R",16487541,16488058,1,2.08499908501577e-05,0,NA,0,62
"chr2R",16805681,16806652,1,2.09441496428612e-05,0,NA,0,63
"chr2R",16807309,16807623,1,2.09441496428612e-05,0,NA,1.75751932261448e-19,63
"chr2R",16884993,16885513,3,2.1140161979016e-05,5,0,0,64
"chr2R",17055073,17055598,3,2.10401964414692e-05,3,0,0,10
"chr2R",17094445,17094768,1,2.08506601011264e-05,0,NA,0,65
"chr2R",17411595,17412111,1,2.08502230395657e-05,0,NA,0,66
"chr2R",17457737,17458208,4,2.11339899753824e-05,6,0,2.61605502979061e-17,67
"chr2R",17537775,17538261,2,2.17417220957937e-05,0,1,0,11
"chr2R",17539941,17541074,7,2.1741763854411e-05,32,0.0476190476190476,0,11
"chr2R",18028217,18028736,1,2.13359074223754e-05,0,NA,0,40
"chr2R",18485481,18485745,1,2.08506800170441e-05,0,NA,0,68
"chr2R",18508198,18508643,1,2.08502500916566e-05,0,NA,0,69
"chr2R",18616525,18616882,1,2.08503964533497e-05,0,NA,0,70
"chr2R",18886156,18886512,1,2.08503419354786e-05,0,NA,0,71
"chr2R",19337775,19338208,1,2.08506654842026e-05,0,NA,0,72
"chr2R",19572339,19572836,1,2.13383554494639e-05,0,NA,0,42
"chr2R",19601240,19601761,4,2.13384084881765e-05,10,0,0,42
"chr2R",20655402,20655849,4,2.09467378707161e-05,1,0,0,12
"chr2R",20653011,20653387,1,2.09467092360198e-05,0,NA,0,12
"chr2R",20649214,20649576,1,2.09467092360198e-05,0,NA,0,12
"chr2R",5545427,5545834,2,2.10399142981945e-05,0.5,0,0,13
"chr2R",5542703,5543344,2,2.10399142981945e-05,0.5,0,0,13
"chr2R",10457888,10458281,1,2.10411674432748e-05,0,NA,0,1
"chr2R",10458496,10460268,1,2.10411674432748e-05,0,NA,0,1
"chr2R",15164361,15164726,7,2.19545527473868e-05,51,0,0,14
"chr2R",3128283,3128618,1,2.08463792093808e-05,0,NA,9.12631380316548e-17,15
"chr2R",11736054,11736652,1,2.0850466938262e-05,0,NA,0,16
"chr2R",3637314,3637731,3,2.10436036620973e-05,3,0,0,17
"chr2R",16894966,16895318,2,2.11398413088396e-05,3,0,0,64
"chr2R",3947712,3948207,1,2.08507066207872e-05,0,NA,0,18
"chr2R",4194868,4195360,1,2.0944353835487e-05,0,NA,0,19
"chr2R",4211904,4212274,1,2.09439458661081e-05,0,NA,0,19
"chr2R",5067950,5068625,1,2.09461280022179e-05,0,NA,0,20
"chr2R",17417969,17418417,1,2.09461435406551e-05,0,NA,0,20
"chr2R",20219567,20221224,2,2.11407566262235e-05,3,0,0,47
"chr2R",9159993,9160339,2,2.09458670611782e-05,1,0,0,21
"chr2R",5358138,5358583,1,2.08499892977651e-05,0,NA,0,22
"chr2R",5995167,5995532,1,2.08499940940546e-05,0,NA,0,23
"chr2R",6387679,6388096,1,2.08504248392387e-05,0,NA,0,24
"chr2R",6416987,6417245,2,2.09458416451792e-05,1,0,0,25
"chr2R",6643413,6643904,1,2.09456680567534e-05,0,NA,0,26
"chr2R",19476989,19477447,1,2.09458728532846e-05,0,NA,0,26
"chr2R",21024389,21024745,1,2.09455778091593e-05,0,NA,0,4
"chr2R",7156733,7157062,1,2.08498966610807e-05,0,NA,0,27
"chr2R",7842001,7842535,1,2.08506882664449e-05,0,NA,0,28
"chr2R",8153482,8153889,1,2.08495857743938e-05,0,NA,0,29
"chr2R",11640470,11640874,1,2.08497582420763e-05,0,NA,0,30
"chr2R",20790984,20791532,1,2.08501700024209e-05,0,NA,0,31
"chr2R",12495743,12496104,2,2.094391475279e-05,1,0,0,32
"chr2R",8816561,8817123,2,2.09467943373977e-05,1,0,0,33
"chr2R",19235533,19236095,1,2.08506891059495e-05,0,NA,0,34
"chr2R",9412517,9412902,1,2.08503301997665e-05,0,NA,0,35
"chr2R",10061732,10062168,1,2.19524164160853e-05,0,NA,0,14
"chr2R",9896518,9896985,1,2.09458523361155e-05,0,NA,0,36
"chr2R",9898013,9898439,1,2.09458523361155e-05,0,NA,0,36
"chr2R",9940558,9941129,1,2.08472860766212e-05,0,NA,1.69479199582247e-17,37
"chr2R",10140928,10141834,1,2.08503916912194e-05,0,NA,0,38
"chr2R",10308114,10308619,2,2.09462914193293e-05,1,0,0,39
"chr2R",10232183,10232576,1,2.13390225725918e-05,0,NA,0,40
"chr2R",10233952,10234372,1,2.13390225725918e-05,0,NA,0,40
"chr2R",19273437,19273842,3,2.13383267749293e-05,5,0,0,40
"chr2R",18263266,18263677,1,2.08506990230647e-05,0,NA,0,41
"chr2R",19611525,19611929,3,2.13383862786816e-05,4.25,0,0,42
"chr2R",19614395,19614807,3,2.13383862786816e-05,2.75,0,0,42
"chr2R",10991923,10992212,1,2.09417614348591e-05,0,NA,0,43
"chr2R",10992449,10992749,1,2.09417614348591e-05,0,NA,7.27413937237345e-18,43
"chr2R",11028127,11028848,4,2.11402942033725e-05,1.5,0.5,0,44
"chr2R",20971215,20971521,1,2.08499234993122e-05,0,NA,0,45
"chr2R",12097287,12097731,1,2.09445526276258e-05,0,NA,0,46
"chr2R",16779191,16779687,1,2.09449568715879e-05,0,NA,0,46
"chr2R",11546808,11547138,1,2.11381842097514e-05,0,NA,0,47
"chr2R",12052739,12053141,1,2.17334548592728e-05,0,NA,0,11
"chr2R",12378455,12378688,1,2.08506830394325e-05,0,NA,0,48
"chr2R",15242756,15243158,1,2.094591151333e-05,0,NA,0,49
"chr2R",15243819,15244275,1,2.094591151333e-05,0,NA,0,49
"chr2R",12570178,12570642,1,2.094514060103e-05,0,NA,0,50
"chr2R",12568732,12569202,1,2.094514060103e-05,0,NA,0,50
"chr2R",12819986,12820512,1,2.08500787791631e-05,0,NA,0,51
"chr2R",13349516,13350212,1,2.08500060550096e-05,0,NA,0,52
"chr2R",13734970,13735417,4,2.12399874617066e-05,9,0,0,53
"chr2R",15206942,15207139,1,2.08505129801469e-05,0,NA,0,54
"chr2R",14288132,14288515,1,2.08507013472472e-05,0,NA,0,55
"chr2R",14839809,14840211,1,2.0850381507902e-05,0,NA,0,56
"chr2R",18445675,18446130,1,2.09463926826551e-05,0,NA,0,57
"chr2R",18446580,18447023,1,2.09463926826551e-05,0,NA,0,57
"chr2R",14716993,14717331,1,2.08498271637846e-05,0,NA,0,58
"chr2R",14930012,14930448,1,2.08475217627137e-05,0,NA,6.41564256988624e-18,59
"chr2R",18296634,18296939,1,2.08507057208507e-05,0,NA,0,60
"chr2R",16598403,16598726,1,2.09434524574116e-05,0,NA,0,61
"chr2R",16598766,16599126,1,2.09434524574116e-05,0,NA,0,61
"chr2R",16533565,16534059,1,2.08499908501577e-05,0,NA,0,62
"chr2R",16820362,16821027,2,2.09450314011042e-05,1,0,0,63
"chr2R",16892054,16892687,1,2.11391999976708e-05,0,NA,0,64
"chr2R",16892909,16893475,1,2.11391999976708e-05,0,NA,0,64
"chr2R",20487952,20488517,1,2.10395939374512e-05,0,NA,0,10
"chr2R",17162141,17162492,1,2.08506601011264e-05,0,NA,0,65
"chr2R",17438224,17438649,1,2.08502230395657e-05,0,NA,0,66
"chr2R",17466397,17466850,1,2.11262282562212e-05,0,NA,6.65633291209414e-17,67
"chr2R",17467438,17467741,1,2.11262282562212e-05,0,NA,5.97576022033389e-17,67
"chr2R",17497305,17497635,1,2.11302707529747e-05,0,NA,3.17545258374965e-17,67
"chr2R",17494186,17494649,1,2.11302707529747e-05,0,NA,2.22099088189076e-17,67
"chr2R",20786274,20786831,1,2.17402647543638e-05,0,NA,0,11
"chr2R",20787316,20787639,1,2.17402647543638e-05,0,NA,0,11
"chr2R",18493590,18493819,1,2.08506800170441e-05,0,NA,0,68
"chr2R",18536035,18536545,1,2.08502500916566e-05,0,NA,0,69
"chr2R",18623018,18623385,1,2.08503964533497e-05,0,NA,0,70
"chr2R",18890787,18891199,1,2.08503419354786e-05,0,NA,0,71
"chr2R",19343715,19344223,1,2.08506654842026e-05,0,NA,0,72
"chr2R",20631985,20632363,1,2.13382617643949e-05,0,NA,0,42
